#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,,,,,
,,,,,
2,1057112,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),25.661,
3,1073112,RONGO UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),15.683,
4,1077112,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),-,
5,1082112,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (BIOCHEMISTRY),23.504,
6,1087112,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),15.683,
7,1093112,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (BIOCHEMISTRY),15.683,
8,1105112,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),15.683,
9,1111112,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),32.976,
10,1112112,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (BIOCHEMISTRY),31.23,
11,1117112,PWANI UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),15.683,
12,1118112,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (BIOCHEMISTRY),15.683,
13,1253112,MOI UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),25.581,
14,1263112,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (BIOCHEMISTRY),32.695,
15,1063112,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN BIOCHEMISTRY,15.683,
16,1114112,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN BIOCHEMISTRY,15.683,
17,1240112,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN BIOCHEMISTRY,15.683,
18,1229112,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",30.294,
BACHELOR OF SCIENCE (GEOLOGY),,,,,
1,1166113,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (GEOLOGY),15.683,
2,1263113,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (GEOLOGY),15.683,
3,1173113,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN GEOLOGY,15.683,
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),,,,,
1,1111114,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),25.901,
,,,,,
#,PROG ,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,CODE,,,,
2,1087114,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),15.683,
3,1093114,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),15.683,
4,1246114,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),15.683,
5,1263114,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),27.085,
6,1079114,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,15.683,
7,1091114,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,15.683,
8,1164114,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,15.683,
9,1170114,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,15.683,
10,1249114,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,24.651,
,,AGRICULTURE AND TECHNOLOGY,,,
11,1114114,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,15.683,
12,1229114,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",15.683,
BACHELOR OF SCIENCE (COMPUTER SCIENCE,,,,,
1,1176115,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE,26.766,
2,1246115,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (COMPUTER SCIENCE,,
3,1515115,TOM MBOYA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE,-,
4,1057115,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),38.37,
5,1073115,RONGO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),25.117,
